time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
272088,-108.03119659423828,0.0003,0.8878263235092163,14.134346961975098,74,472,0.016123859211802483,1119.53020017,271987,730.59,3674,,
274620,-105.54231262207031,0.0003,-0.2413037270307541,7.125140190124512,74,476,0.01653016172349453,1112.45926248,274519,726.51,3703,,
275000,-105.26483154296875,0.0003,0.15376299619674683,8.412089347839355,,,0.016263915225863457,,274899,,,1325.350683487975,671.0
277277,-106.32420349121094,0.0003,-0.2892792820930481,8.14405345916748,74,480,0.01665862463414669,1075.86729518,277176,713.08,3742,,
280000,-111.41468811035156,0.0003,4.135700702667236,43.11351776123047,,,0.0168467964977026,,279899,,,1072.2913182159537,573.4
280818,-113.10868835449219,0.0003,0.1317838430404663,7.384232521057129,74,484,0.01680758409202099,1118.0649647900002,280717,723.85,3789,,
283680,-108.90988159179688,0.0003,-1.0001376867294312,6.407334327697754,74,488,0.016499165445566177,1134.15522911,283579,712.47,3821,,
285000,-109.9923095703125,0.0003,-1.8126606941223145,12.974721908569336,,,0.016911668702960014,,284899,,,1694.5733642228647,635.3
285777,-112.66030883789062,0.0003,-1.311607837677002,8.568872451782227,74,492,0.016896281391382217,1141.34611774,285676,695.69,3853,,
289777,-113.13023376464844,0.0003,0.9378541707992554,9.62234878540039,74,496,0.017106806859374046,1146.3764125700002,289676,711.51,3897,,
290000,-105.22573852539062,0.0003,0.4256749153137207,26.408111572265625,,,0.01714249886572361,,289899,,,1217.8178620336373,614.9
292310,-113.9970932006836,0.0003,1.8868979215621948,10.5588960647583,74,500,0.017147330567240715,1181.15092991,292209,712.34,3934,,
295000,-108.18611145019531,0.0003,-1.3485931158065796,8.512463569641113,,,0.016889996826648712,,294899,,,2154.1394730763977,917.7
296310,-117.063232421875,0.0003,1.0264530181884766,9.141247749328613,74,504,0.01700569875538349,1231.0696442400001,296209,727.22,3991,,
298946,-113.00303649902344,0.0003,0.9173746109008789,9.611953735351562,74,508,0.017033452168107033,1267.2360958900001,298845,726.67,4020,,
300000,-111.98177337646484,0.0003,-0.9019975662231445,11.0724515914917,,,0.017275746911764145,,299899,,,1672.5864774835238,718.7
301448,-116.90174865722656,0.0003,0.09081166982650757,8.924150466918945,74,512,0.017173515632748604,1276.55624392,301347,735.01,4058,,
305000,-113.78669738769531,0.0003,-1.0176515579223633,14.081781387329102,,,0.01750868558883667,,304899,,,1635.9681527298176,738.6
305448,-119.75867462158203,0.0003,-0.8240014910697937,7.8785200119018555,74,516,0.017500387504696846,1342.1134893400003,305347,743.95,4113,,
307387,-114.52903747558594,0.0003,-0.5575035810470581,11.11497974395752,74,520,0.017431361600756645,1339.9355960599999,307286,733.76,4135,,
310000,-114.85586547851562,0.0003,0.9210194945335388,8.136913299560547,,,0.01767941750586033,,309899,,,2475.686248678877,850.6
310004,-115.75111389160156,0.0003,1.0238226652145386,10.619956016540527,74,524,0.017688626423478127,1396.24305068,309903,738.98,4176,,
313986,-122.20472717285156,0.0003,-0.17511343955993652,16.518774032592773,74,528,0.017964055761694908,1460.66232312,313885,753.85,4220,,
315000,-116.1629638671875,0.0003,-0.02452373504638672,8.065852165222168,,,0.018046073615550995,,314899,,,2101.8583859909095,786.6
317713,-118.69937133789062,0.0003,1.363930344581604,14.52481746673584,74,532,0.018309814855456352,1503.8921466099998,317612,773.97,4271,,
320000,-128.1884002685547,0.0003,-1.135347843170166,9.993989944458008,,,0.018115079030394554,,319899,,,2680.487883136049,918.0
320188,-123.40869140625,0.0003,1.381089448928833,10.848220825195312,74,536,0.01793551817536354,1509.3260324199996,320087,758.72,4312,,
323220,-124.20895385742188,0.0003,-0.34508293867111206,15.396888732910156,74,540,0.01785093918442726,1523.9869241800002,323119,749.04,4346,,
325000,-123.11222839355469,0.0003,0.4949829578399658,12.63781452178955,,,0.01784612238407135,,324899,,,2555.890940497001,906.7
