time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
234565,7992,1586,32.92,147,45.767573700000014,-15.471484987359299,234433,4.168704666589436,0.001,,
234696,7996,1587,32.6,147,44.92368987999999,-15.526936932613975,234581,10.353890516819098,0.001,,
234810,8000,1588,32.39,147,44.64220919,-15.65547683022239,234703,4.012944969263944,0.001,,
234940,8004,1588,32.32,147,44.815036819999996,-16.081504821777344,234821,4.5588528482537525,0.001,,
235000,,,,,,-15.67245512423308,234898,3.9615481747521293,0.001,31.7,46.01694563515484
235100,8008,1590,32.43,147,45.12536786000001,-15.386740502857027,234990,10.731983627591815,0.001,,
235196,8012,1590,32.14,147,44.670306280000005,-15.091813496180944,235084,4.045683216165613,0.001,,
235323,8016,1591,32.26,147,44.87616537999998,-15.281816376580132,235209,4.306584132345099,0.001,,
235444,8020,1592,32.33,147,44.81787284999999,-15.341493606567383,235333,4.949200706822531,0.001,,
235586,8024,1593,32.38,147,44.705365249999986,-15.594608397710891,235453,4.059866777488163,0.001,,
235701,8028,1593,32.25,147,44.41762045,-15.669741233189901,235589,3.705702851215998,0.001,,
235827,8032,1594,32.32,147,44.34105471,-15.516869068145752,235713,3.797598200184958,0.001,,
235946,8036,1595,32.5,147,44.71662762,-15.784139442443848,235822,4.328511564355147,0.001,,
236045,8040,1596,32.3,147,44.53652245,-15.104536790114183,235934,3.6742737109844503,0.001,,
236178,8044,1597,32.1,147,44.08126017000001,-15.599120656649271,236065,3.7041783928871155,0.001,,
236284,8048,1597,31.64,147,43.22798298,-15.628880182902018,236170,3.7041619300842283,0.001,,
236400,8052,1598,31.58,147,43.10375607999998,-15.773693951693447,236286,3.621915658315023,0.001,,
236513,8056,1599,31.18,147,42.56935488,-15.827359492962177,236400,4.081771758886484,0.001,,
236650,8060,1600,30.98,147,42.63874011,-15.545297486441475,236519,3.3257603978001793,0.001,,
236807,8064,1601,30.96,147,42.641099950000005,-15.908227820145456,236667,4.987051794403477,0.001,,
236950,8068,1602,31.44,147,43.592882120000006,-15.812354821425219,236832,16.16023435959449,0.001,,
237047,8072,1603,31.26,147,43.15356374,-15.777464173056863,236936,4.091903913588751,0.001,,
237186,8076,1604,31.36,147,43.360768660000005,-16.03359956326692,237065,4.443408519663709,0.001,,
237356,8080,1605,31.62,147,43.55085443,-15.528169123331706,237233,3.495720003472,0.001,,
237496,8084,1606,32.02,147,44.23961571999999,-16.719837869916642,237381,6.806448715073722,0.001,,
237634,8088,1607,32.07,147,44.73443877,-15.752278532300677,237520,3.693562078475952,0.001,,
237728,8092,1607,31.63,147,44.14751384999999,-15.698951721191406,237625,3.473308040545537,0.001,,
237874,8096,1608,31.78,147,44.45555590000001,-15.68195629119873,237763,3.191701645652453,0.001,,
237984,8100,1609,31.74,147,44.38188177,-16.086046536763508,237881,3.569202699661255,0.001,,
238110,8104,1610,31.7,147,44.29078881,-15.738291382789612,237991,3.532993659377098,0.001,,
238259,8108,1611,31.59,147,44.21202401999999,-16.07828984941755,238128,4.163561282334505,0.001,,
238406,8112,1612,32.1,147,45.173742669999996,-15.609716653823853,238281,3.36738431930542,0.001,,
238555,8116,1613,32.32,147,45.45311899,-15.977881304423015,238416,3.862600088119507,0.001,,
238719,8120,1614,32.75,147,46.32333500000001,-16.010657810029528,238597,4.278897739592052,0.001,,
238839,8124,1615,32.53,147,46.00746729,-15.770187943070024,238724,4.119051299005185,0.001,,
238983,8128,1616,32.82,147,46.728515479999984,-15.496265714818781,238869,4.910396554734972,0.001,,
239105,8132,1617,32.78,147,46.64923763000001,-16.04695311459628,238990,3.979216320570125,0.001,,
239239,8136,1618,32.93,147,47.10602691000001,-15.858117141723632,239130,3.3925261886752383,0.001,,
239361,8140,1619,33.16,147,47.476475670000006,-15.681235363608913,239251,3.5865507188596224,0.001,,
239510,8144,1620,33.32,147,47.90877379,-15.597982470194498,239403,4.151219312349955,0.001,,
239638,8148,1621,33.54,147,48.34236914,-16.472002267837524,239527,5.433279289918787,0.001,,
239757,8152,1621,33.57,147,48.28467960999999,-15.807678149296688,239634,3.351654396057129,0.001,,
239863,8156,1622,33.5,147,48.09084931,-15.600653489430746,239746,6.397632161776225,0.001,,
239991,8160,1623,33.41,147,47.80339766,-15.763008734759163,239866,4.412664858733907,0.001,,
240000,,,,,,-15.706127668681898,239904,4.006701067874306,0.001,29.0,42.0073325201869
240105,8164,1624,32.98,147,47.192454930000004,-15.717832386493683,239998,3.6278835088014603,0.001,,
240227,8168,1625,32.77,147,47.00976188999999,-15.891907612482706,240095,3.291590328216553,0.001,,
240353,8172,1626,33.06,147,47.66060942,-16.57817594210307,240217,5.7963408088684085,0.001,,
240493,8176,1627,33.07,147,47.6393503,-15.425342082977295,240370,3.895466353212084,0.001,,
240616,8180,1627,32.6,147,47.198927779999984,-16.002305030822754,240498,4.4839185320812724,0.001,,
240733,8184,1628,32.37,147,46.8128161,-16.042192663465226,240620,5.9321987275724055,0.001,,
240843,8188,1629,32.09,147,46.142979069999996,-15.759356325322932,240729,3.635069587956304,0.001,,
240956,8192,1629,32.28,147,46.46443598999999,-15.631755828857422,240831,4.19677773805765,0.001,,
241070,8196,1630,31.96,147,45.89334524,-16.244192949930827,240953,3.699224893252055,0.001,,
241178,8200,1631,31.94,147,45.87431321,-16.115203221638996,241058,5.724723686774571,0.001,,
241322,8204,1632,32.12,147,46.05368125,-15.69837866889106,241190,4.096782816780938,0.001,,
241423,8208,1633,31.64,147,45.045221349999984,-15.956757068634033,241313,3.59917857430198,0.001,,
241580,8212,1634,31.74,147,45.12127656999999,-16.071693126971905,241444,3.2009263896942137,0.001,,
