time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
95000,,,,,,11.9722834102443,0.001,-56.421285848148536,94836,266.60358691811564,122.0
95047,138,121.3,688,900,264.73615377000004,,,,,,
95534,138,121.33,691,904,264.79767591,11.018761242850353,0.001,-56.61401173219843,95320,,
96021,138,121.26,695,908,264.63780017000005,11.827580420951533,0.001,-56.58527880809346,95807,,
96508,138,121.23,698,912,264.55468244,13.453699773099242,0.001,-56.74566211700439,96296,,
97010,138,121.35,701,916,264.73110307999997,11.387885635898959,0.001,-56.64405798142956,96793,,
97500,,,,,,10.36135104751587,0.001,-56.72873576994865,97295,265.5628222346306,121.85
97508,137,121.31,707,920,264.58551134,,,,,,
98005,137,121.4,710,924,264.748359,11.96968938446045,0.001,-56.18947570554672,97787,,
98499,137,121.47,714,928,264.87922964,12.79311822128296,0.001,-56.340977699525894,98283,,
98987,138,121.46,717,932,264.86514816000005,10.492099918302943,0.001,-56.813250307176936,98774,,
99484,138,121.49,720,936,264.9978227,10.634696456909179,0.001,-56.383029150584385,99264,,
99977,138,121.6,723,940,265.358825,10.199313375473022,0.001,-57.05148967619865,99765,,
100000,,,,,,11.17261747092255,0.001,-56.388836157126505,99886,273.21863532662394,123.2
100470,137,121.67,728,944,265.69235091999997,9.51484303176403,0.001,-56.44996517896652,100257,,
100988,137,122.02,732,948,266.55711254,10.171500380712612,0.001,-56.74072365394005,100763,,
101485,137,122.15,735,952,266.71101608,9.812179495076665,0.001,-56.89120733542521,101274,,
101988,137,122.36,739,956,267.27808689,10.49058463390057,0.001,-56.279806518554686,101766,,
102495,137,122.63,742,960,268.02887036,11.072728042454683,0.001,-56.29715910691481,102274,,
102500,,,,,,9.306454152327317,0.001,-56.715168057955225,102404,291.7212554395199,129.25
103007,137,123.0,749,964,269.11654683999996,9.422841477581835,0.001,-56.22760984632704,102789,,
103508,137,123.2,752,968,269.77224409999997,9.937571868751988,0.001,-56.36986680464311,103293,,
104018,137,123.58,755,972,270.7250215199999,10.573900173187257,0.001,-56.081980243805916,103795,,
104543,137,123.95,759,976,271.72671249999996,10.844901635911729,0.001,-56.18140097225414,104324,,
105000,,,,,,9.998209927433221,0.001,-56.58712136745453,104835,274.2323345065117,124.7
105052,137,124.2,766,980,272.42212065999996,,,,,,
105559,137,124.58,769,984,273.4954918199999,8.05928247794509,0.001,-56.4299401640892,105335,,
106077,137,124.85,773,988,274.37475137,10.748618378783718,0.001,-55.98533861564867,105863,,
106604,137,125.28,777,992,275.40376691999995,10.193233060472794,0.001,-56.62426572857481,106382,,
107113,137,125.52,780,996,276.29610144,9.557235133263372,0.001,-56.33602093112084,106893,,
107500,,,,,,10.085431084266077,0.001,-56.445545313908504,107283,279.16333386301994,125.7
107628,136,125.81,786,1000,277.25018428,9.730799291684077,0.001,-56.40249539888822,107413,,
108139,136,126.05,790,1004,278.08901098,10.98242179039986,0.001,-56.52400262894169,107921,,
108649,136,126.28,793,1008,278.99859116999994,10.27960616722703,0.001,-56.15792912244797,108430,,
109158,136,126.5,797,1012,279.82398367,9.473665838319112,0.001,-56.62234441695675,108942,,
109620,136,126.1,800,1016,278.87423882,11.231436988975428,0.001,-56.16585120176658,109405,,
