time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
46,6.21,640,-4.22357153,85,3959,1.153259515762329,-5.7083234786987305,0.32134294509887695,0.0003,-20.25559425354004,3858,,
46,6.27,644,-4.207417659999999,85,3986,0.8422520160675049,-5.696418762207031,0.3188219964504242,0.0003,-20.244361877441406,3885,,
47,6.29,648,-4.20326706,85,4012,0.9809196591377258,-5.663466930389404,0.31643450260162354,0.0003,-19.919349670410156,3911,,
47,6.4,652,-4.1907356700000005,85,4040,0.8012732863426208,-4.878828048706055,0.31387293338775635,0.0003,-20.89944839477539,3939,,
47,6.49,656,-4.12112027,85,4071,1.1320654153823853,-5.104138374328613,0.3110630214214325,0.0003,-20.618253707885742,3970,,
48,6.55,660,-4.086972090000001,85,4101,0.8184489607810974,-5.391637802124023,0.3083650767803192,0.0003,-20.814516067504883,4000,,
48,6.65,664,-4.07270039,85,4136,1.020735502243042,-5.528392791748047,0.30522361397743225,0.0003,-20.574222564697266,4035,,
48,6.65,668,-4.04690931,85,4164,1.017950177192688,-4.825929641723633,0.30272042751312256,0.0003,-21.43836212158203,4063,,
49,6.79,672,-4.0173141900000005,85,4199,0.9730158448219299,-5.4117913246154785,0.2996102571487427,0.0003,-21.064908981323242,4098,,
49,6.81,676,-4.0428510300000005,84,4222,0.9761303067207336,-4.846055030822754,0.29758262634277344,0.0003,-21.85934066772461,4121,,
50,6.86,680,-3.9992492699999995,85,4253,1.0773744583129883,-4.865117073059082,0.29486095905303955,0.0003,-22.185096740722656,4152,,
50,6.86,684,-3.89200995,84,4280,0.9215191602706909,-5.1614990234375,0.29249340295791626,0.0003,-22.246639251708984,4179,,
50,6.89,688,-3.9249562099999995,84,4309,0.9475593566894531,-4.680699825286865,0.2899739146232605,0.0003,-22.213199615478516,4208,,
51,6.92,692,-3.9264743699999993,84,4339,0.6186881065368652,-4.4247894287109375,0.28737759590148926,0.0003,-22.268096923828125,4238,,
51,6.86,696,-3.8312406500000002,84,4362,0.7442432641983032,-4.255983352661133,0.28540652990341187,0.0003,-22.555009841918945,4261,,
51,6.89,700,-3.80653519,84,4386,0.9762713313102722,-4.293470859527588,0.2833680510520935,0.0003,-22.95553207397461,4285,,
51,6.84,704,-3.76547061,84,4407,1.0545363426208496,-4.824614524841309,0.281591534614563,0.0003,-23.035415649414062,4306,,
52,6.75,708,-3.659758060000001,84,4427,0.881004810333252,-4.615312576293945,0.2799054980278015,0.0003,-23.35043716430664,4326,,
52,6.83,712,-3.6183581300000003,84,4455,0.8511949777603149,-4.342528343200684,0.27755340933799744,0.0003,-23.333290100097656,4354,,
52,7.01,716,-3.6058498300000004,84,4492,0.7520548701286316,-4.474842071533203,0.27448004484176636,0.0003,-23.512725830078125,4391,,
53,7.09,720,-3.53640084,84,4523,0.8617888689041138,-4.041176795959473,0.2719328701496124,0.0003,-23.401803970336914,4422,,
53,7.12,724,-3.5689467500000003,84,4549,0.7446099519729614,-4.436591148376465,0.2698196470737457,0.0003,-24.04631805419922,4448,,
53,7.07,728,-3.5653972900000004,84,4569,0.6024335622787476,-3.997969627380371,0.268201619386673,0.0003,-24.16427230834961,4468,,
54,6.95,732,-3.491756740000001,84,4588,0.742896556854248,-4.318375587463379,0.26667141914367676,0.0003,-24.12166976928711,4487,,
54,6.89,736,-3.40495951,84,4614,0.6660885810852051,-3.905900001525879,0.2645956575870514,0.0003,-24.3641300201416,4513,,
54,6.86,740,-3.2714204799999997,84,4645,0.5697667598724365,-3.9843320846557617,0.26214444637298584,0.0003,-24.574880599975586,4544,,
55,6.84,744,-3.25201988,84,4670,0.7964094281196594,-4.404135227203369,0.26018837094306946,0.0003,-24.64053726196289,4569,,
55,6.92,748,-3.2518102600000005,84,4704,0.693004310131073,-4.0533881187438965,0.25755617022514343,0.0003,-24.823410034179688,4603,,
55,6.94,752,-3.2477869600000004,84,4734,0.5629376173019409,-4.14934778213501,0.2552560269832611,0.0003,-24.788272857666016,4633,,
56,6.83,756,-3.22190857,84,4754,0.699321985244751,-3.9506678581237793,0.2537374198436737,0.0003,-24.537506103515625,4653,,
56,6.88,760,-3.29955704,84,4789,0.7325941324234009,-3.7716023921966553,0.2511005103588104,0.0003,-24.8082275390625,4688,,
56,6.77,764,-3.2546617099999997,84,4813,0.6112951040267944,-3.6766510009765625,0.24930737912654877,0.0003,-24.93999481201172,4712,,
57,6.75,768,-3.2092438,84,4839,0.6810824275016785,-3.888352394104004,0.24739167094230652,0.0003,-25.13899803161621,4738,,
57,6.63,772,-3.18006157,84,4862,0.6468745470046997,-3.5368402004241943,0.24570651352405548,0.0003,-25.487586975097656,4761,,
57,6.6,776,-3.1448556400000003,84,4882,0.6255717277526855,-3.914134979248047,0.24425028264522552,0.0003,-25.292110443115234,4781,,
58,6.59,780,-3.0380951699999996,84,4912,0.4992032051086426,-3.3772621154785156,0.24208329617977142,0.0003,-25.390239715576172,4811,,
58,6.54,784,-2.9955404599999995,84,4934,0.6488598585128784,-3.579249858856201,0.24050389230251312,0.0003,-25.553340911865234,4833,,
58,6.51,788,-2.91524091,84,4960,0.5349867343902588,-3.2717673778533936,0.23864828050136566,0.0003,-25.698307037353516,4859,,
59,6.47,792,-2.8220675299999995,84,4986,0.5769784450531006,-3.575455665588379,0.23680637776851654,0.0003,-25.680946350097656,4885,,
,,,,,5000,0.6044481992721558,-3.5526275634765625,0.23582355678081512,0.0003,-26.115825653076172,4899,0.8788829000026454,13.1
60,6.47,796,-2.81740009,83,5009,0.5419618487358093,-3.489870548248291,0.23519267141819,0.0003,-25.91275405883789,4908,,
