train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/critic_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
45650,17.953496170043945,243,50.0,-6.535698780000001,188,916,0.001,0.05809381395578384,45800,,
45850,17.977282257080077,,,,,,0.001,0.06589810460805894,46000,-7.050200736522674,50.0
,,244,50.0,-6.567021990000001,188,920,,,46000,,
46050,18.03347229003906,245,50.0,-6.711515310000001,188,924,0.001,0.059702331870794295,46200,,
46250,18.06176254272461,246,50.0,-6.770380049999999,188,928,0.001,0.053407231196761135,46400,,
46450,18.047892150878905,247,50.0,-6.7785859,188,932,0.001,0.05633251026272774,46600,,
46650,18.172573852539063,248,50.0,-6.672188860000001,188,936,0.001,0.054884015098214146,46800,,
46850,18.16790184020996,,,,,,0.001,0.06037799872457981,47000,-6.99941990505904,50.0
,,249,50.0,-6.680983380000002,188,940,,,47000,,
47050,18.214900970458984,250,50.0,-6.7173462,188,944,0.001,0.06303671829402446,47200,,
47250,18.283919525146484,251,50.0,-6.727248330000001,188,948,0.001,0.06163162551820278,47400,,
47450,18.283270721435546,252,50.0,-6.740026029999999,188,952,0.001,0.0859620551019907,47600,,
47650,18.1684822845459,253,50.0,-6.695095169999999,188,956,0.001,0.07919928632676601,47800,,
47850,18.275758209228517,,,,,,0.001,0.05207847222685814,48000,-6.791694199666381,50.0
,,255,50.0,-6.593264060000001,188,960,,,48000,,
48050,18.385315017700194,256,50.0,-6.733852049999999,188,964,0.001,0.05520248353481293,48200,,
48250,18.378634872436525,256,50.0,-6.84969048,188,968,0.001,0.059971035644412043,48400,,
48450,18.38953025817871,257,50.0,-6.80331501,188,972,0.001,0.06419982381165028,48600,,
48650,18.4570955657959,258,50.0,-6.842909549999999,188,976,0.001,0.08062670931220055,48800,,
48850,18.517108383178712,,,,,,0.001,0.06269563771784306,49000,-7.2711794544011354,50.0
,,260,50.0,-6.69301336,188,980,,,49000,,
49050,18.512011260986327,261,50.0,-6.67014471,188,984,0.001,0.05891112878918648,49200,,
49250,18.50649475097656,262,50.0,-6.70009094,188,988,0.001,0.0626931944489479,49400,,
49450,18.53928565979004,263,50.0,-6.681588820000001,188,992,0.001,0.08460215307772159,49600,,
49650,18.628030242919923,264,50.0,-6.642418489999999,188,996,0.001,0.08984038174152374,49800,,
49850,18.63580795288086,,,,,,0.001,0.06426086075603962,50000,-7.716968326549977,50.0
,,265,50.0,-6.570092969999999,188,1000,,,50000,,
