time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,,0.001,,555000,-68.95644055175781,554710,,0.15401897621899843,942.2401187285781,1000.0
568,1000.0,143,0.001,3894,557765,-69.088089553833,556710,918.91583078,0.13128664131835102,,
,,,0.001,,560000,-69.24142707824707,559710,,0.12562221956253053,964.2057224452495,1000.0
572,1000.0,143,0.001,3925,561765,-69.30719995117188,560710,925.0589011999999,0.1234127444140613,,
,,,0.001,,565000,-69.54660252380371,564710,,0.13059371177107096,977.7650715857744,1000.0
576,1000.0,143,,3955,565765,,,929.0090408499999,,,
580,1000.0,143,0.001,3976,569765,-69.72640838623047,568710,930.6643487099999,0.10348766599223018,,
,,,0.001,,570000,-69.76959761047364,569710,,0.1037912470959127,949.5867087006569,1000.0
584,1000.0,143,0.001,4006,573765,-69.85445944213868,572710,934.3826032700001,0.13306804697588087,,
,,,0.001,,575000,-70.0072771911621,574710,,0.09227424496039748,962.4957269370556,1000.0
588,1000.0,143,0.001,4036,577765,-70.13859844970703,576710,935.2462029699999,0.10239959178492426,,
,,,0.001,,580000,-70.20867398071289,579710,,0.10160004018247128,948.8612890183925,1000.0
592,1000.0,143,0.001,4064,581765,-70.1905643157959,580710,936.1473674900001,0.11023778644949198,,
,,,0.001,,585000,-70.27063862609863,584710,,0.1041085458509624,957.8059948027134,1000.0
596,1000.0,143,,4094,585765,,,937.7935905600002,,,
600,1000.0,143,0.001,4116,589765,-70.4300308380127,588710,939.5087458,0.10060344671085476,,
,,,0.001,,590000,-70.46902102661133,589710,,0.09845702797174453,967.9286247015,1000.0
604,1000.0,143,0.001,4146,593765,-70.55611491394043,592710,942.01936116,0.09995753597468138,,
,,,0.001,,595000,-70.62499928283691,594710,,0.11230509312823415,855.7817173436284,1000.0
608,1000.0,143,0.001,4174,597765,-70.67865838623047,596710,944.1295961500001,0.09980416544526816,,
,,,0.001,,600000,-70.81089028930664,599710,,0.1055608037635684,914.5581496745348,1000.0
612,1000.0,143,0.001,4203,601765,-70.81266043090821,600710,943.3998193799999,0.10137593974545599,,
,,,0.001,,605000,-70.71287174987793,604710,,0.10829650649428367,908.9236231207848,1000.0
616,1000.0,142,,4237,605765,,,941.62358292,,,
620,1000.0,143,0.001,4258,609765,-70.64145372009277,608710,942.6823643299999,0.11616736207529903,,
,,,0.001,,610000,-70.62140147399903,609710,,0.10467751649767161,959.0739319682122,1000.0
624,1000.0,143,0.001,4287,613765,-70.63117045593262,612710,943.5292108100001,0.11540785370394588,,
,,,0.001,,615000,-70.63880743408203,614710,,0.10632557247579098,951.0493972837925,1000.0
628,1000.0,143,0.001,4316,617765,-70.54758953857421,616710,943.2507856400001,0.11840954387187957,,
,,,0.001,,620000,-70.60042970275879,619710,,0.09431766239926219,975.1286429107189,1000.0
632,1000.0,143,0.001,4345,621765,-70.62427667236328,620710,943.3099633499999,0.12413872983306647,,
,,,0.001,,625000,-70.46328674316406,624710,,0.10588593355193734,904.2759728074074,1000.0
636,1000.0,143,,4375,625765,,,942.3576635899999,,,
640,1000.0,143,0.001,4397,629765,-70.10779811096191,628710,940.48731035,0.12664121548831464,,
,,,0.001,,630000,-70.03760005187988,629710,,0.11240522068366408,934.241980600357,1000.0
644,1000.0,143,0.001,4427,633765,-69.9660736694336,632710,939.67975383,0.13248203259333968,,
,,,0.001,,635000,-69.7922391204834,634710,,0.12434299527853727,850.7580371439457,1000.0
648,1000.0,143,0.001,4457,637765,-69.6608030090332,636710,937.8195404300001,0.11459824217855931,,
,,,0.001,,640000,-69.65105261230468,639710,,0.11000854275375604,932.552969032526,1000.0
652,1000.0,143,0.001,4484,641765,-69.71053123474121,640710,937.7872443100001,0.10103455079719424,,
,,,0.001,,645000,-69.71991804504394,644710,,0.09088843156024813,978.0889287173748,1000.0
656,1000.0,143,,4515,645765,,,938.5556089,,,
660,1000.0,143,0.001,4539,649765,-69.93429327392577,648710,940.3194360900001,0.12254456154629588,,
