time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
120,15822,1902940,126860,15.0,70.93740083,0.009328694920986891,-36.398502349853516,0.001,1902827,,
120,15822,1903000,126864,15.0,70.93664876,0.005340252925331394,-35.56341770717076,0.001,1902887,,
120,15822,1903060,126868,15.0,70.93165282999999,0.0070751641876995565,-36.24393081665039,0.001,1902947,,
120,15823,1903120,126872,15.0,70.93002544999999,0.006994988614072402,-36.097984313964844,0.001,1903007,,
120,15823,1903180,126876,15.0,70.92541352,0.0074358943849802015,-34.15147754124233,0.001,1903067,,
120,15823,1903240,126880,15.0,70.92653710999998,0.007063773677994808,-36.3468747820173,0.001,1903127,,
120,15824,1903300,126884,15.0,70.92052104,0.006474250151465337,-36.997958592006135,0.001,1903187,,
120,15824,1903360,126888,15.0,70.91630737999999,0.006843393420179685,-36.921176365443635,0.001,1903247,,
120,15824,1903420,126892,15.0,70.91436533,0.00914419237524271,-36.35480063302176,0.001,1903307,,
120,15824,1903480,126896,15.0,70.91402241,0.007654403584698836,-36.28838293892996,0.001,1903367,,
120,15825,1903540,126900,15.0,70.91890839000001,0.005653455543021361,-35.225690024239675,0.001,1903427,,
120,15825,1903600,126904,15.0,70.91625273000001,0.0059870144041876,-36.15743364606585,0.001,1903487,,
120,15825,1903660,126908,15.0,70.91681004000002,0.0061830162691573305,-34.50998142787388,0.001,1903547,,
120,15826,1903720,126912,15.0,70.91407630999998,0.010967086348682643,-34.61830847603934,0.001,1903607,,
120,15826,1903780,126916,15.0,70.91337627,0.007370145556827386,-34.809730529785156,0.001,1903667,,
120,15826,1903840,126920,15.0,70.90989305,0.008915755214790504,-35.62837246486119,0.001,1903727,,
120,15827,1903900,126924,15.0,70.90581742,0.006320458697155118,-35.16108594621931,0.001,1903787,,
120,15827,1903960,126928,15.0,70.90921668000001,0.005646875873208046,-34.69195747375488,0.001,1903847,,
120,15827,1904020,126932,15.0,70.91192282,0.006679373575995366,-35.839063371930806,0.001,1903907,,
120,15828,1904080,126936,15.0,70.91299049999999,0.011380625112603108,-35.339874267578125,0.001,1903967,,
120,15828,1904140,126940,15.0,70.90579776999999,0.006341772029797236,-35.93332208905901,0.001,1904027,,
120,15828,1904200,126944,15.0,70.90569070000001,0.005580939818173647,-36.40746634347098,0.001,1904087,,
120,15829,1904260,126948,15.0,70.90809956000001,0.0056749712365369,-35.67130824497768,0.001,1904147,,
120,15829,1904320,126952,15.0,70.90987458000001,0.005509501912941536,-35.660660879952566,0.001,1904207,,
120,15829,1904380,126956,15.0,70.91043722999999,0.010852889499316613,-36.136207580566406,0.001,1904267,,
