time/total_timesteps,train/learning_rate,time/time_elapsed,train/policy_loss,train/value_loss,time/fps,train/entropy_loss,time/iterations,rollout/ep_len_mean,train/std,train/n_updates,train/explained_variance,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
68000,0.0007,308,0.05640518665313721,4.67987047159113e-05,220,13.036066055297852,13600,552.08,0.04744653403759003,13599,-0.0046073198318481445,313.22205817,,
68500,0.0007,309,0.28945213556289673,0.0006503899930976331,221,13.207781791687012,13700,561.94,0.046426914632320404,13699,-0.001406550407409668,323.17463489,,
69000,0.0007,310,-0.036923833191394806,4.425973384059034e-05,222,13.344446182250977,13800,561.94,0.045642782002687454,13799,0.007301151752471924,323.17463489,,
69500,0.0007,311,-0.04817262291908264,2.5336514227092266e-05,223,13.51538372039795,13900,571.78,0.0446750670671463,13899,-0.00013113021850585938,333.14298621,,
70000,0.0007,,0.055600788444280624,2.2640790120931342e-05,,13.671263694763184,,,0.04383223503828049,13999,0.003682553768157959,,1000.0,992.6392603754997
70000,,323,,,216,,14000,571.78,,,,333.14298621,,
70500,0.0007,324,-0.049598343670368195,1.9789848010987043e-05,217,13.814318656921387,14100,571.78,0.043048933148384094,14099,-0.00057220458984375,349.95500047,,
71000,0.0007,325,-0.06715966016054153,2.0147663235547952e-05,218,13.979413032531738,14200,571.78,0.042152587324380875,14199,-0.016401171684265137,349.95500047,,
71500,0.0007,326,-0.060120172798633575,2.368281093367841e-05,218,14.1091890335083,14300,581.12,0.041482388973236084,14299,-0.004667401313781738,360.29543815,,
72000,0.0007,327,-0.045180387794971466,1.9219285604776815e-05,219,14.224102973937988,14400,581.12,0.04088636487722397,14399,0.0053247809410095215,360.29543815,,
72500,0.0007,328,0.1941411942243576,0.0002842223912011832,220,14.3700590133667,14500,590.34,0.040144551545381546,14499,-1.0132789611816406e-05,370.75194515000004,,
73000,0.0007,330,0.06509567052125931,4.5253371354192495e-05,221,14.50369930267334,14600,590.34,0.03948891907930374,14599,0.006745398044586182,370.75194515000004,,
73500,0.0007,331,-0.15609844028949738,0.00011076963710365817,221,14.644909858703613,14700,599.13,0.03879069536924362,14699,-0.0030744075775146484,381.33427191999994,,
74000,0.0007,332,-0.015754828229546547,1.537380740046501e-05,222,14.750140190124512,14800,599.13,0.03828635811805725,14799,0.002998828887939453,381.33427191999994,,
74500,0.0007,333,0.6405415534973145,0.0024306951090693474,223,14.854232788085938,14900,599.13,0.03779622167348862,14899,0.0013831257820129395,396.87120338,,
75000,0.0007,,-0.01927078329026699,8.708168934390415e-06,,14.961386680603027,,,0.037290774285793304,14999,-0.004137277603149414,,1000.0,993.3150264084339
75000,,346,,,216,,15000,599.13,,,,396.87120338,,
75500,0.0007,347,0.10575723648071289,0.00010289041529176757,217,15.08488941192627,15100,608.05,0.03670608252286911,15099,0.005488932132720947,407.3968647,,
76000,0.0007,348,0.1720460206270218,0.00014894624473527074,217,15.205756187438965,15200,608.05,0.03617869317531586,15199,0.002145111560821533,407.3968647,,
76500,0.0007,349,0.05724142864346504,1.7995713278651237e-05,218,15.335820198059082,15300,617.76,0.03557368367910385,15299,0.013056278228759766,417.47375558000016,,
77000,0.0007,351,-0.12916015088558197,7.036196620902047e-05,219,15.464224815368652,15400,617.76,0.03500988706946373,15399,-0.0015920400619506836,417.47375558000016,,
77500,0.0007,352,0.09053850173950195,0.00010763570753624663,219,15.579373359680176,15500,627.48,0.03449796512722969,15499,-0.0001609325408935547,427.50022877000004,,
78000,0.0007,353,0.07340969145298004,3.253292743465863e-05,220,15.708331108093262,15600,627.48,0.03396959602832794,15599,0.0027918219566345215,427.50022877000004,,
78500,0.0007,354,-0.17535459995269775,0.00015942007303237915,221,15.830102920532227,15700,637.26,0.033455777913331985,15699,0.0003368854522705078,437.4842630500001,,
79000,0.0007,355,0.1364716738462448,0.00010970315634040162,221,15.951825141906738,15800,637.26,0.03294102102518082,15799,-0.00027871131896972656,437.4842630500001,,
79500,0.0007,357,0.06456651538610458,4.2420357203809544e-05,222,16.104284286499023,15900,647.0,0.032330263406038284,15899,-0.0013889074325561523,447.51098386000007,,
80000,0.0007,,0.11178262531757355,8.199986768886447e-05,,16.197275161743164,,,0.03194610774517059,15999,-0.0037381649017333984,,1000.0,993.3971731960773
80000,,369,,,216,,16000,647.0,,,,447.51098386000007,,
80500,0.0007,370,0.0317048616707325,2.3228931240737438e-05,217,16.314224243164062,16100,656.05,0.03148520737886429,16099,-0.003653287887573242,457.91366402000006,,
81000,0.0007,371,0.03761520981788635,1.1789193194999825e-05,218,16.400623321533203,16200,656.05,0.031140394508838654,16199,0.007251262664794922,457.91366402000006,,
81500,0.0007,372,0.015711193904280663,9.090069397643674e-06,218,16.52619743347168,16300,664.82,0.030661169439554214,16299,-0.004455447196960449,468.42527294000007,,
