rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,66274.89273440001,65,133120,1114,119,771220.125,0.0003,0.2,-0.06706569687230512,0.8942908048629761,1500472.373046875,0.235498046875,640,-22.22854220867157,0.027445234,-0.0008102655410766602,,
,,,135000,,,614635.1875,0.0003,0.2,-0.07095717302290723,0.892885148525238,1323010.2791015625,0.269287109375,650,-22.20238317847252,0.027734164,-4.780292510986328e-05,60160.944215011594,1000.0
1000.0,66704.94875203,66,135168,1148,117,,,,,,,,,,,,,
1000.0,67113.66363617,67,137216,1152,119,673382.875,0.0003,0.2,-0.07578080596285872,0.8921850323677063,1289438.79375,0.2775390625,660,-22.18109998703003,0.028398879,1.7881393432617188e-07,,
1000.0,67444.10486983998,68,139264,1157,120,603617.3125,0.0003,0.2,-0.07241490552842152,0.8911755084991455,1254215.67421875,0.26953125,670,-22.16806952357292,0.030390114,-3.2186508178710938e-06,,
,,,140000,,,636888.9375,0.0003,0.2,-0.06840697434090544,0.8902594447135925,1280675.0798828125,0.272802734375,680,-22.147130542993544,0.032219753,5.960464477539063e-08,64797.5654050827,1000.0
1000.0,67883.39194146,69,141312,1190,118,,,,,,,,,,,,,
1000.0,68074.99215576999,70,143360,1195,119,675538.6875,0.0003,0.2,-0.06436152517271694,0.8895406126976013,1307936.7087890625,0.243310546875,690,-22.1310322701931,0.025749758,1.430511474609375e-06,,
,,,145000,,,448362.6875,0.0003,0.2,-0.08645441845292226,0.8899747133255005,966261.5732421875,0.336279296875,700,-22.133730316162108,0.03460411,-0.00047600269317626953,61048.25014801025,1000.0
1000.0,68112.65753674001,71,145408,1228,118,,,,,,,,,,,,,
1000.0,68482.90099557,72,147456,1233,119,663331.8125,0.0003,0.2,-0.07371930032677483,0.8885837197303772,1195914.780078125,0.2796875,710,-22.11372999548912,0.030552618,1.0132789611816406e-06,,
1000.0,68814.24311896,73,149504,1238,120,784323.6875,0.0003,0.2,-0.08379319882951677,0.8875342011451721,1643812.179296875,0.296630859375,720,-22.093871480226518,0.0318373,-8.344650268554688e-07,,
,,,150000,,,469928.625,0.0003,0.2,-0.0868963060202077,0.8867421746253967,832679.740625,0.35517578125,730,-22.080710381269455,0.03964585,0.00015562772750854492,68682.58569831848,1000.0
1000.0,68364.76293875,74,151552,1271,119,,,,,,,,,,,,,
1000.0,68276.93686090001,75,153600,1276,120,369282.375,0.0003,0.2,-0.09013956098351628,0.8858225345611572,825493.242578125,0.37626953125,740,-22.05805336833,0.04186166,0.00010472536087036133,,
,,,155000,,,610321.4375,0.0003,0.2,-0.07091889947187155,0.8854352831840515,1167947.661328125,0.271923828125,750,-22.04960694313049,0.030039925,0.00016051530838012695,66167.6810180664,1000.0
1000.0,68300.18963708001,76,155648,1309,118,,,,,,,,,,,,,
1000.0,68399.57094768001,77,157696,1314,119,568653.125,0.0003,0.2,-0.06775279106805102,0.884893536567688,1138386.289453125,0.270068359375,760,-22.0395005941391,0.03129234,1.0132789611816406e-05,,
1000.0,68757.52458739,78,159744,1319,121,782119.9375,0.0003,0.2,-0.0702701582951704,0.8837905526161194,1495835.76015625,0.257373046875,770,-22.021933776140212,0.027548984,9.5367431640625e-07,,
