time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
,,123000,,,,-362.9257662963867,0.001,242.6542562866211,122633,1000.0,9319.416738414764
,,124000,,,,-362.72168865966796,0.001,220.24375621795653,123633,1000.0,9317.076445007324
,,125000,,,,-363.34636499023435,0.001,226.2360938949585,124633,1000.0,9319.899058818817
,,126000,,,,-363.6902016601563,0.001,204.52474788284303,125633,1000.0,9320.144936656952
700,1889,126733,1000.0,9320.090017550001,67,,,,,,
,,127000,,,,-364.38388745117186,0.001,182.7261515045166,126633,1000.0,9320.216077136993
,,128000,,,,-365.53381219482424,0.001,205.7830633239746,127633,1000.0,9320.221580600739
,,129000,,,,-365.86725549316407,0.001,212.8186466445923,128633,1000.0,9319.557428741455
,,130000,,,,-366.7780948486328,0.001,210.80613722991944,129633,1000.0,9321.5188164711
704,1958,130733,1000.0,9320.07668931,66,,,,,,
,,131000,,,,-367.3539102783203,0.001,238.02412968444824,130633,1000.0,9320.00666589737
,,132000,,,,-368.02488073730467,0.001,240.27045192718506,131633,1000.0,9319.672090053558
,,133000,,,,-369.1148815307617,0.001,215.86728812408447,132633,1000.0,9319.430490303039
