time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
164,19436,6.0,2.1608691600000003,118,976,19339,1.4337916374206543,0.001,-17.172390619913738,,
164,19460,6.0,2.1618702,118,980,19363,1.4279144605000813,0.001,-17.95470937093099,,
164,19484,6.0,2.16153582,118,984,19387,1.2717160781224568,0.001,-18.363667805989582,,
164,19508,6.0,2.16171942,118,988,19411,1.5825661420822144,0.001,-17.340778350830078,,
164,19532,6.0,2.16127315,118,992,19435,1.1979809602101643,0.001,-17.569470087687176,,
164,19556,6.0,2.16088525,118,996,19459,1.1843186616897583,0.001,-16.151663144429524,,
164,19580,6.0,2.1608776100000004,119,1000,19483,1.6844496925671895,0.001,-16.403310139973957,,
164,19604,6.0,2.1605874600000003,119,1004,19507,1.5239467521508534,0.001,-15.114641507466635,,
164,19628,6.0,2.1592438499999997,119,1008,19531,1.2788166999816895,0.001,-16.67819658915202,,
164,19652,6.0,2.1589143299999995,119,1012,19555,1.4781272610028584,0.001,-15.496539433797201,,
164,19676,6.0,2.15986657,119,1016,19579,1.829325000445048,0.001,-16.403168360392254,,
164,19700,6.0,2.15914254,119,1020,19603,1.4742151896158855,0.001,-15.383692741394043,,
164,19724,6.0,2.1588575299999997,119,1024,19627,1.3520263731479645,0.001,-15.82855192820231,,
164,19748,6.0,2.15981616,120,1028,19651,1.3920025924841564,0.001,-15.451709747314453,,
164,19772,6.0,2.1604816099999997,120,1032,19675,1.426104615132014,0.001,-14.643393198649088,,
164,19796,6.0,2.1603176000000004,120,1036,19699,1.364921549956004,0.001,-15.200400670369467,,
164,19820,6.0,2.16033605,120,1040,19723,1.3570036888122559,0.001,-13.74831517537435,,
164,19844,6.0,2.16028279,120,1044,19747,1.8117802341779072,0.001,-14.306799252827963,,
164,19868,6.0,2.1605911,120,1048,19771,1.6200839281082153,0.001,-13.562177022298178,,
164,19892,6.0,2.16078422,120,1052,19795,1.599114716053009,0.001,-12.411415735880533,,
164,19916,6.0,2.1605255899999998,120,1056,19819,1.8857731719811757,0.001,-12.99405606587728,,
164,19940,6.0,2.1606362600000004,121,1060,19843,1.6991806626319885,0.001,-13.05198605855306,,
164,19964,6.0,2.15985894,121,1064,19867,1.185961127281189,0.001,-12.225985527038574,,
164,19988,6.0,2.15991682,121,1068,19891,1.557435264190038,0.001,-12.78847885131836,,
,20000,,,,,19903,1.3568155765533447,0.001,-12.640673319498697,6.0,2.166283109784126
164,20012,6.0,2.16027044,121,1072,19915,1.303619811932246,0.001,-11.931196848551432,,
164,20036,6.0,2.16003168,121,1076,19939,1.5748210549354553,0.001,-12.431760470072428,,
164,20060,6.0,2.16034471,121,1080,19963,1.5280112226804097,0.001,-12.309535344441732,,
164,20084,6.0,2.1615722899999996,121,1084,19987,1.7156960765520732,0.001,-11.565301895141602,,
164,20108,6.0,2.1606651800000005,122,1088,20011,1.4658605853716533,0.001,-11.185833613077799,,
164,20132,6.0,2.1609849399999996,122,1092,20035,1.6508562167485554,0.001,-10.790897051493326,,
164,20156,6.0,2.1612543199999994,122,1096,20059,1.4589678645133972,0.001,-11.220276832580566,,
164,20180,6.0,2.1618544699999998,122,1100,20083,1.5576844811439514,0.001,-11.309185028076172,,
164,20204,6.0,2.1631659099999996,122,1104,20107,1.7380746603012085,0.001,-10.670896848042807,,
164,20228,6.0,2.1639296599999995,122,1108,20131,1.4219849308331807,0.001,-9.887583414713541,,
