rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/n_updates,time/total_timesteps,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,rollout/ep_len_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1051.76222005,50,0.1569651961326599,1.2798494100570679,689697,689798,0.03160664439201355,13681,756,-111.84471130371094,974.79,0.0003,,
,,0.17948758602142334,0.727921187877655,689899,690000,0.031034626066684723,,,-112.23574829101562,,0.0003,1521.106748290069,1000.0
1067.3582047799998,50,0.8354670405387878,1.3589191436767578,693697,693798,0.031543001532554626,13767,760,-113.1200942993164,974.79,0.0003,,
,,0.40904414653778076,0.5338096618652344,694899,695000,0.03176290541887283,,,-114.08526611328125,,0.0003,1619.066563789919,1000.0
1083.14821545,50,0.11373786628246307,0.9892789125442505,697697,697798,0.03224186599254608,13852,764,-113.55628967285156,974.79,0.0003,,
,,-0.015476614236831665,1.2275264263153076,699899,700000,0.03202143684029579,,,-114.3546371459961,,0.0003,1501.0388057581615,934.0
1110.6954287699998,50,0.7162983417510986,1.4856057167053223,701692,701793,0.03175214305520058,13935,768,-115.11650848388672,974.74,0.0003,,
,,-0.222833514213562,1.0610243082046509,704899,705000,0.03302542120218277,,,-118.36036682128906,,0.0003,1618.7738404927659,980.5
1175.58917739,50,0.13392578065395355,1.2439042329788208,705014,705115,0.03284839168190956,14009,772,-119.43926239013672,972.03,0.0003,,
1205.6363120400001,50,-0.6830430030822754,4.036637306213379,708786,708887,0.032805539667606354,14070,776,-118.71595764160156,975.74,0.0003,,
,,-0.21045559644699097,1.408527135848999,709899,710000,0.03287392854690552,,,-119.93795013427734,,0.0003,1604.253284383763,1000.0
1221.47698003,50,-0.22481697797775269,1.8363864421844482,712257,712358,0.03224184364080429,14145,780,-120.70146179199219,972.49,0.0003,,
,,-0.055800363421440125,0.5682141780853271,714899,715000,0.031777121126651764,,,-120.02876281738281,,0.0003,1735.4409521215014,977.0
1259.1432007600001,50,-0.9465304017066956,0.8359129428863525,716257,716358,0.033513393253088,14229,784,-122.99784851074219,972.49,0.0003,,
,,0.3682014048099518,0.9760112166404724,719899,720000,0.03233245387673378,,,-119.41140747070312,,0.0003,2009.7720408690627,1000.0
1299.96147768,50,-0.006425410509109497,0.8645756244659424,720257,720358,0.032222285866737366,14313,788,-121.09504699707031,972.49,0.0003,,
1298.9843778900001,50,-0.04897947609424591,1.3302152156829834,722695,722796,0.03215363994240761,14353,792,-122.10426330566406,956.87,0.0003,,
,,-0.033470168709754944,1.595516562461853,724899,725000,0.032329969108104706,,,-125.11284637451172,,0.0003,1984.4215783323161,1000.0
1328.76586052,50,-0.6840142011642456,1.117170810699463,725979,726080,0.03183281794190407,14427,796,-121.45891571044922,949.71,0.0003,,
,,-0.053457606583833694,0.899834156036377,729899,730000,0.033085618168115616,,,-124.38664245605469,,0.0003,1964.4751653153448,1000.0
1360.1972293900003,50,0.21504083275794983,1.0254979133605957,729979,730080,0.033553216606378555,14512,800,-124.95433044433594,949.71,0.0003,,
1377.8930206700002,50,0.12474916875362396,1.81492280960083,733979,734080,0.034742385149002075,14576,804,-127.1444091796875,949.71,0.0003,,
,,0.23682954907417297,1.5215049982070923,734899,735000,0.03456387668848038,,,-127.72256469726562,,0.0003,2058.4129059444704,1000.0
1406.8053742799998,50,-0.7491739988327026,1.2729806900024414,737979,738080,0.03292320296168327,14661,808,-127.11064147949219,949.71,0.0003,,
,,-1.2626599073410034,0.9541997909545898,739899,740000,0.03379461541771889,,,-127.84578704833984,,0.0003,2094.3231096579693,1000.0
1445.29430079,50,-0.46985217928886414,1.327835202217102,741979,742080,0.033626239746809006,14746,812,-126.52920532226562,951.49,0.0003,,
