eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/clip_range,train/learning_rate,train/approx_kl,train/value_loss
,102400,,50,285,359,50.0,-12.200727729999999,,,,,,,,,,,
50.0,103000,-9.703297795541584,,,,,,-0.0014775706447835546,0.9027096554636955,0.113037109375,1.014581735432148,0.14430776238441467,500,0.12025272846221924,0.2,0.0003,0.010018481,0.2179052026476711
50.0,104000,-9.703297795541584,,,,,,,,,,,,,,,,
,104448,,51,284,366,50.0,-12.004947320000001,,,,,,,,,,,
50.0,105000,-9.681849946267903,,,,,,-0.003252376656746492,0.9205106049776077,0.13779296875,1.079778565093875,0.13819655776023865,510,0.07853443920612335,0.2,0.0003,0.0120958,0.16526043422054498
50.0,106000,-9.681849946267903,,,,,,,,,,,,,,,,
,106496,,52,285,373,50.0,-11.48749356,,,,,,,,,,,
50.0,107000,-9.688681194931268,,,,,,-0.007066845084773376,0.9137964993715286,0.1365234375,1.1542811766266823,0.13390858471393585,520,0.05048738792538643,0.2,0.0003,0.012883887,0.16306174152996392
50.0,108000,-9.688681194931268,,,,,,,,,,,,,,,,
,108544,,53,285,380,50.0,-10.949862769999998,,,,,,,,,,,
50.0,109000,-9.484838916361332,,,,,,-0.0022497234807815404,0.9085129573941231,0.145556640625,1.2073653988540172,0.1309334635734558,530,0.13130135834217072,0.2,0.0003,0.012677587,0.1685958860674873
50.0,110000,-9.484838916361332,,,,,,,,,,,,,,,,
,110592,,54,285,387,50.0,-10.475035559999998,,,,,,,,,,,
50.0,111000,-9.41894653486088,,,,,,-0.004816503761685453,0.9295664578676224,0.158056640625,1.250334383547306,0.1284627616405487,540,0.04881866276264191,0.2,0.0003,0.011949159,0.14805395987350495
50.0,112000,-9.41894653486088,,,,,,,,,,,,,,,,
,112640,,55,285,394,50.0,-10.788976069999999,,,,,,,,,,,
