time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
155000,,,,,,750,-0.3380417823791504,0.369580078125,-0.07464051126735285,0.2,1.7787747936323286,-4.431753118336201,0.0003,0.042239558,0.41879796981811523,0.4586065411567688,643.6,536.5277841761708
155648,76,487,8.073737399999999,319,147.11,,,,,,,,,,,,,
157696,77,492,13.5679748,320,160.56,760,-0.0959320068359375,0.370458984375,-0.07074862571898848,0.2,2.146056720614433,-4.267006403207779,0.0003,0.040129103,0.40995630621910095,0.6692078709602356,,
159744,78,496,18.649696719999998,321,177.34,770,-0.18325090408325195,0.37060546875,-0.0730444920976879,0.2,2.2709865709766746,-4.108687879145146,0.0003,0.042652696,0.40145057439804077,0.4934265613555908,,
160000,,,,,,780,-0.0035202503204345703,0.30703125,-0.06358968225249555,0.2,5.054328475520014,-3.9810268245637417,0.0003,0.028081952,0.39614391326904297,1.9653383493423462,911.3,771.3326128587127
161792,79,510,21.97351032,317,189.06,,,,,,,,,,,,,
163840,80,515,28.159193480000003,318,197.18,790,0.15102511644363403,0.390576171875,-0.06970861223817337,0.2,1.9459192430600525,-3.8259247496724127,0.0003,0.043544978,0.3870490491390228,0.49153679609298706,,
165000,,,,,,800,-0.001596689224243164,0.298291015625,-0.053750680173106954,0.2,4.123742814362049,-3.677130065113306,0.0003,0.025919463,0.38085106015205383,1.2417092323303223,914.0,776.3874830186367
165888,81,528,35.58522782,313,217.06,,,,,,,,,,,,,
167936,82,533,39.71978644,314,227.3,810,0.3585383892059326,0.285498046875,-0.05544914250203874,0.2,4.169160085916519,-3.5471543788909914,0.0003,0.028562013,0.37418147921562195,1.2047921419143677,,
169984,83,537,49.26180179,316,249.54,820,0.4644421339035034,0.349658203125,-0.05727294332464226,0.2,2.77911463547498,-3.3809827975928783,0.0003,0.04063527,0.3662053644657135,1.342552661895752,,
170000,,,,,,830,0.3796599507331848,0.254541015625,-0.05090582695556804,0.2,8.962499749660491,-3.268934227526188,0.0003,0.022373408,0.36251842975616455,3.941648244857788,903.6,781.1318623945117
172032,84,551,54.022562689999994,312,259.04,,,,,,,,,,,,,
174080,85,555,63.30319787999999,313,280.36,840,0.27997148036956787,0.281396484375,-0.05353665816946886,0.2,8.771733586490154,-3.180787102133036,0.0003,0.024269104,0.35835349559783936,3.5558178424835205,,
175000,,,,,,850,0.5043368637561798,0.278369140625,-0.05141120259359013,0.2,10.397921127080917,-3.0965096823871137,0.0003,0.024117822,0.3549520969390869,2.152785539627075,1000.0,880.3129994481802
176128,86,570,69.14228094,308,294.51,,,,,,,,,,,,,
178176,87,575,74.47725505000001,309,270.35,860,0.5123100876808167,0.362255859375,-0.05103561751311645,0.2,5.250715707615018,-3.010689019411802,0.0003,0.043033585,0.3509940505027771,1.7060097455978394,,
180000,,,,,,870,0.39929038286209106,0.21826171875,-0.04940561519179028,0.2,19.395048351585864,-2.942876797169447,0.0003,0.015969474,0.3488636612892151,4.45274543762207,1000.0,880.1748264789582
180224,88,589,81.0991351,305,276.24,,,,,,,,,,,,,
182272,89,594,91.28266368000003,306,298.63,880,0.5191667675971985,0.2505859375,-0.04774371683888603,0.2,13.373482503741979,-2.897158329188824,0.0003,0.020099994,0.3466346859931946,5.050906658172607,,
184320,90,598,97.66494897000003,308,305.55,890,0.6469596922397614,0.321240234375,-0.045245922531466934,0.2,7.27607903406024,-2.801306900382042,0.0003,0.035127267,0.3411810100078583,3.744022846221924,,
