rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
191.56,228,696,136,191.56,31106,,,,,,
,,,,,32000,0.001,31007,-48.298622581481936,1.2826921543776988,1000.0,1000.0
,,,,,33000,0.001,32007,-49.94074848175049,1.4805921802967787,1000.0,1000.0
,,,,,34000,0.001,33007,-51.7828716506958,1.4598335860222578,1000.0,1000.0
,,,,,35000,0.001,34007,-53.98697350311279,1.432150846198201,1000.0,1000.0
229.06,265,700,132,229.06,35106,,,,,,
,,,,,36000,0.001,35007,-56.135892723083494,1.331446562319994,1000.0,1000.0
,,,,,37000,0.001,36007,-58.179178146362304,1.8313007178902625,1000.0,1000.0
,,,,,38000,0.001,37007,-60.38197631072998,1.8753453281074763,1000.0,1000.0
,,,,,39000,0.001,38007,-62.35419895935058,1.8135170235335827,1000.0,1000.0
266.67,301,704,129,266.67,39106,,,,,,
,,,,,40000,0.001,39007,-64.28256861877442,2.380723623201251,1000.0,1000.0
,,,,,41000,0.001,40007,-66.28520049285889,3.1830664324760436,1000.0,1000.0
,,,,,42000,0.001,41007,-68.41716720581054,2.6810252110362054,1000.0,1000.0
,,,,,43000,0.001,42007,-70.43473356628418,2.660932285130024,1000.0,1000.0
304.35,338,708,127,304.35,43106,,,,,,
,,,,,44000,0.001,43007,-72.37904298400879,3.1935864975750445,1000.0,1000.0
,,,,,45000,0.001,44007,-74.75546409606933,2.652502790868282,1000.0,1000.0
,,,,,46000,0.001,45007,-76.76453623962402,3.2524028135836125,1000.0,1000.0
,,,,,47000,0.001,46007,-79.20524418640137,2.6411939791440964,1000.0,1000.0
341.9,374,712,125,341.9,47106,,,,,,
,,,,,48000,0.001,47007,-81.39586500549316,3.22614243632555,1000.0,1000.0
,,,,,49000,0.001,48007,-82.98467468261718,3.838257609754801,1000.0,1000.0
,,,,,50000,0.001,49007,-85.36469439697265,4.228615574002266,1000.0,1000.0
,,,,,51000,0.001,50007,-87.4850252532959,4.828285994172096,1000.0,1000.0
379.41,411,716,124,379.41,51106,,,,,,
,,,,,52000,0.001,51007,-89.56886334228516,5.513581885039806,1000.0,1000.0
,,,,,53000,0.001,52007,-91.83264093017578,5.577955772161483,1000.0,1000.0
,,,,,54000,0.001,53007,-93.22509646606446,5.180336858808994,1000.0,1000.0
,,,,,55000,0.001,54007,-95.23096812438965,5.518807665705681,1000.0,1000.0
416.9,446,720,123,416.9,55106,,,,,,
,,,,,56000,0.001,55007,-97.11762365722656,6.343358264625072,1000.0,1000.0
,,,,,57000,0.001,56007,-99.67239593505859,6.1470285898447035,1000.0,1000.0
,,,,,58000,0.001,57007,-101.94198815917969,6.013356145262718,1000.0,1000.0
,,,,,59000,0.001,58007,-103.80594679260254,6.134195792853832,1000.0,1000.0
454.35,484,724,122,454.35,59106,,,,,,
,,,,,60000,0.001,59007,-105.67504693603516,6.236273095846176,1000.0,1000.0
,,,,,61000,0.001,60007,-108.19498344421386,6.923298523247242,1000.0,1000.0
,,,,,62000,0.001,61007,-110.00688972473145,8.84927254807949,1000.0,1000.0
,,,,,63000,0.001,62007,-112.34487989807128,9.233569229364395,1000.0,1000.0
491.49,520,728,121,491.49,63106,,,,,,
,,,,,64000,0.001,63007,-114.34298994445801,12.431525824427604,1000.0,1000.0
,,,,,65000,0.001,64007,-116.75343014526368,13.482068849682808,1000.0,1000.0
,,,,,66000,0.001,65007,-118.51887776184083,14.800639909923076,1000.0,1000.0
,,,,,67000,0.001,66007,-119.91008415222169,11.1925362123847,1000.0,1000.0
528.72,566,732,118,528.72,67106,,,,,,
,,,,,68000,0.001,67007,-121.75032772827149,15.02848155760765,1000.0,1000.0
,,,,,69000,0.001,68007,-124.18772518920899,12.138887557864189,1000.0,1000.0
,,,,,70000,0.001,69007,-126.49682167053223,10.791252650618553,1000.0,1000.0
,,,,,71000,0.001,70007,-128.8242538757324,8.385757881760597,1000.0,1000.0
565.85,614,736,115,565.85,71106,,,,,,
,,,,,72000,0.001,71007,-130.91066651916503,12.376929282665253,1000.0,1000.0
,,,,,73000,0.001,72007,-132.646611618042,20.18383282828331,1000.0,1000.0
,,,,,74000,0.001,73007,-134.48977362060546,18.009993163347243,1000.0,1000.0
,,,,,75000,0.001,74007,-136.51711219787597,14.767625447630882,1000.0,1000.0
602.83,661,740,113,602.83,75106,,,,,,
,,,,,76000,0.001,75007,-138.75614013671876,10.576595529198647,1000.0,1000.0
,,,,,77000,0.001,76007,-141.15194703674317,11.560472480654717,1000.0,1000.0
,,,,,78000,0.001,77007,-143.80893965148925,11.511883571088314,1000.0,1000.0
,,,,,79000,0.001,78007,-145.8221604309082,14.606902204275132,1000.0,1000.0
639.58,705,744,112,639.58,79106,,,,,,
,,,,,80000,0.001,79007,-149.32876278686524,19.056439691066743,1000.0,1000.0
,,,,,81000,0.001,80007,-151.6596967163086,19.75953981268406,1000.0,1000.0
,,,,,82000,0.001,81007,-153.68435446166993,18.75062220835686,1000.0,1000.0
,,,,,83000,0.001,82007,-155.56733822631836,28.65866931927204,1000.0,1000.0
675.83,745,748,111,675.83,83106,,,,,,
,,,,,84000,0.001,83007,-155.33121197509766,74.92571756267547,1000.0,1000.0
,,,,,85000,0.001,84007,-157.31027169799805,48.150170797824856,1000.0,1000.0
,,,,,86000,0.001,85007,-159.1201566772461,50.98423314809799,1000.0,1000.0
,,,,,87000,0.001,86007,-159.72491415405273,64.37626481151581,1000.0,1000.0
712.19,787,752,110,712.19,87106,,,,,,
,,,,,88000,0.001,87007,-159.3923666687012,70.42811283016205,1000.0,1000.0
,,,,,89000,0.001,88007,-159.50709823608398,79.06709981536865,1000.0,1000.0
,,,,,90000,0.001,89007,-158.34808432006835,89.20202785396576,1000.0,1000.0
,,,,,91000,0.001,90007,-159.28080801391602,101.62604409790039,1000.0,1000.0
748.48,827,756,110,748.48,91106,,,,,,
,,,,,92000,0.001,91007,-158.10129885864256,96.16624906921386,1000.0,1000.0
,,,,,93000,0.001,92007,-157.18482873535157,75.1295824022293,1000.0,1000.0
,,,,,94000,0.001,93007,-160.5046937866211,73.2046482219696,1000.0,1000.0
,,,,,95000,0.001,94007,-162.02812075805664,77.11636782073974,1000.0,1000.0
784.41,866,760,109,784.41,95106,,,,,,
,,,,,96000,0.001,95007,-165.30883081054688,75.5633518333435,1000.0,1000.0
,,,,,97000,0.001,96007,-167.26872744750978,74.49785863637925,1000.0,1000.0
,,,,,98000,0.001,97007,-168.06317193603516,83.69259905338288,1000.0,1000.0
,,,,,99000,0.001,98007,-168.04263967895508,98.09334553909302,1000.0,1000.0
819.66,907,764,109,819.66,99106,,,,,,
,,,,,100000,0.001,99007,-167.19183950805663,100.63125724220276,1000.0,1000.0
,,,,,101000,0.001,100007,-169.78013372802735,100.82345992183686,1000.0,1000.0
,,,,,102000,0.001,101007,-172.23246740722655,111.5507335357666,1000.0,1000.0
,,,,,103000,0.001,102007,-177.97050070190429,100.5980800743103,1000.0,1000.0
854.3,948,768,108,854.3,103106,,,,,,
,,,,,104000,0.001,103007,-184.10939385986327,114.77419962692261,1000.0,1000.0
,,,,,105000,0.001,104007,-186.86156771850585,78.51796640014649,1000.0,1000.0
,,,,,106000,0.001,105007,-189.8151869506836,44.23714413404465,1000.0,1000.0
,,,,,107000,0.001,106007,-193.00750177001953,25.581910958528518,1000.0,1000.0
885.96,989,772,108,885.96,107106,,,,,,
,,,,,108000,0.001,107007,-196.92697436523437,26.174841598510742,1000.0,1000.0
,,,,,109000,0.001,108007,-198.48160342407226,45.50246872091294,1000.0,1000.0
,,,,,110000,0.001,109007,-197.1084326477051,99.95861035823822,1000.0,1000.0
,,,,,111000,0.001,110007,-200.12023483276369,107.6173891878128,1000.0,1000.0
918.74,1030,776,107,918.74,111106,,,,,,
,,,,,112000,0.001,111007,-198.47641436767577,136.3403061389923,1000.0,1000.0
,,,,,113000,0.001,112007,-200.26024768066407,125.70556375122071,1000.0,1000.0
,,,,,114000,0.001,113007,-201.53048541259767,120.36460335540771,1000.0,1000.0
,,,,,115000,0.001,114007,-203.29148608398438,156.15799677467345,1000.0,1000.0
953.28,1073,780,107,953.28,115106,,,,,,
,,,,,116000,0.001,115007,-208.5372077636719,136.54406686401367,1000.0,1000.0
,,,,,117000,0.001,116007,-211.0380003967285,109.5443126039505,1000.0,1000.0
,,,,,118000,0.001,117007,-213.173083984375,91.1343676686287,1000.0,1000.0
,,,,,119000,0.001,118007,-215.28043557739258,79.91735009098053,1000.0,1000.0
979.57,1115,784,106,979.57,119106,,,,,,
,,,,,120000,0.001,119007,-217.8480203552246,89.22902396678924,1000.0,1000.0
,,,,,121000,0.001,120007,-219.67273880004882,124.92752962779998,1000.0,1000.0
,,,,,122000,0.001,121007,-221.3998950805664,131.9284218826294,1000.0,1000.0
,,,,,123000,0.001,122007,-223.19665704345704,152.4547954826355,1000.0,1000.0
987.88,1155,788,106,987.88,123106,,,,,,
,,,,,124000,0.001,123007,-224.90076818847658,159.595920463562,1000.0,1000.0
,,,,,125000,0.001,124007,-226.3769176940918,176.0091824016571,1000.0,1000.0
,,,,,126000,0.001,125007,-229.7690203552246,140.8017638092041,1000.0,1000.0
,,,,,127000,0.001,126007,-232.6409375305176,153.25752425956725,1000.0,1000.0
1000.0,1198,792,106,1000.0,127106,,,,,,
