rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
,,,220000,,,0.9400137066841125,1070,0.8914614766836166,0.0003,0.140478515625,0.018844007,0.2,-23.04054155945778,-0.0449650432477938,316.1198975086212,112.35830688476562,268.08495714664457,51.35
67.27,108,567,221184,329.76351023,389,,,,,,,,,,,,,
68.22,109,572,223232,332.83840335,389,0.9397662878036499,1080,0.880141094326973,0.0003,0.1232421875,0.017038787,0.2,-23.029650980234145,-0.03990103649557568,364.719038772583,96.66305541992188,,
,,,225000,,,0.9394524693489075,1090,0.8879273012280464,0.0003,0.133251953125,0.01661654,0.2,-23.024978345632555,-0.04132070386549458,317.04591355323794,186.2481231689453,283.03461008667944,53.6
67.22,110,578,225280,328.75958505999995,389,,,,,,,,,,,,,
68.07,111,582,227328,332.5620185800001,390,0.9393048882484436,1100,0.8626972734928131,0.0003,0.117822265625,0.015619552,0.2,-23.022935652732848,-0.04080992926610634,424.90357365608213,181.35723876953125,,
67.81,112,587,229376,330.00015681,390,0.9385585784912109,1110,0.8512357771396637,0.0003,0.13173828125,0.017680919,0.2,-23.013537603616715,-0.03992691662569996,308.52439279556273,82.91397857666016,,
,,,230000,,,0.9377775192260742,1120,0.8627771437168121,0.0003,0.124267578125,0.016524568,0.2,-22.997794181108475,-0.04168214141973294,386.7341130256653,104.86567687988281,288.2034422785044,55.5
68.94,113,594,231424,335.30185236000005,389,,,,,,,,,,,,,
70.33,114,599,233472,343.81470072,389,0.9374947547912598,1130,0.8894192054867744,0.0003,0.15849609375,0.019675322,0.2,-22.9876506626606,-0.047031471753143705,320.99655842781067,118.60643768310547,,
,,,235000,,,0.936752438545227,1140,0.8924811333417892,0.0003,0.1494140625,0.018419862,0.2,-22.97756870985031,-0.04368945086025633,323.2315033435822,145.74331665039062,279.5818481247872,54.25
72.36,115,605,235520,351.30039296999996,388,,,,,,,,,,,,,
73.0,116,610,237568,357.58484325999996,389,0.9363170862197876,1150,0.843142956495285,0.0003,0.144189453125,0.019908814,0.2,-22.96779070496559,-0.042651752787060106,383.7663409233093,147.6746826171875,,
71.11,117,614,239616,345.2662693800001,389,0.9357202053070068,1160,0.8939028605818748,0.0003,0.161572265625,0.020096697,0.2,-22.95766960978508,-0.04739398635574617,351.86368346214294,171.8666229248047,,
,,,240000,,,0.9348320364952087,1170,0.8898724243044853,0.0003,0.104931640625,0.01395237,0.2,-22.943816077709197,-0.03742630885099061,363.87078337669374,110.96648406982422,286.23561834543943,54.5
