time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
1011,125.76,144348,142,-139.79305151,784,144235,0.001,-45.69604237874349,4.412663844323927,,
,,145000,,,,144254,0.001,-45.374658203125,3.2259789956243416,426.80504956779333,1000.0
1036,145.93,147458,142,-161.76956595,788,147254,0.001,-45.740935333251954,3.6852833795547486,,
,,150000,,,,149364,0.001,-45.822857223510745,4.084540946245194,642.3967319795659,1000.0
1063,174.46,151458,142,-193.13984364999996,792,150364,0.001,-45.88797640228272,4.1292166016101834,,
1068,173.81,151690,141,-192.55088247,796,151541,0.001,-45.9425197948109,4.216815253962642,,
1069,164.85,151870,141,-182.73521685000003,800,151756,0.001,-45.951594829559326,4.610815080006917,,
1075,173.79,152936,142,-192.57096158000004,804,152825,0.001,-45.365095955984934,5.308674271901449,,
1080,181.65,154018,142,-201.13619064,808,153881,0.001,-46.42234802246094,4.90646673573388,,
,,155000,,,,153924,0.001,-46.24219027432528,4.199040082998054,523.0125952877155,947.0
1101,210.0,157046,142,-231.67531307000002,812,155952,0.001,-47.06218447004046,6.214467031615121,,
1106,210.25,157247,142,-232.11126418000003,816,157121,0.001,-46.783755735917524,6.118335824121129,,
,,160000,,,,159178,0.001,-46.52347535353441,5.608695030212402,574.4970434823074,711.1
1125,238.56,160272,142,-263.05349723,820,,,,,,
1131,239.05,161413,142,-264.00325280000004,824,160319,0.001,-47.05969581604004,7.514783930778504,,
1135,237.53,161484,142,-262.36351978,828,161374,0.001,-48.09606424967448,5.842806537946065,,
1145,245.62,163549,142,-271.49983482000005,832,163413,0.001,-48.24550420587713,4.766004655672156,,
1151,254.69,164617,142,-281.48894079999997,836,164500,0.001,-48.56573009490967,5.096827179193497,,
,,165000,,,,164606,0.001,-48.217619850522,6.541302207004593,691.2912725981732,1000.0
1166,262.08,165736,142,-289.51222934000003,840,165614,0.001,-48.599721908569336,5.862169325351715,,
1167,261.34,165861,142,-288.87074006,844,165734,0.001,-47.5658909479777,5.987834080405857,,
1178,281.61,168030,142,-311.15062166,848,167866,0.001,-48.432936630249024,5.497369625926018,,
,,170000,,,,169025,0.001,-48.263399297540836,5.385770703969377,496.3733134117327,608.4
1195,289.48,170142,142,-319.81765000999997,852,170025,0.001,-48.53208069610596,4.943371548056603,,
1200,288.83,171273,142,-319.65260285999994,856,171159,0.001,-48.59029105401808,3.853591561317444,,
1206,297.33,172393,142,-329.0406776,860,172269,0.001,-48.54379106903076,4.393921226620674,,
1209,306.47,173641,143,-339.33499609,864,172547,0.001,-48.59735441207886,4.506518392001881,,
,,175000,,,,174547,0.001,-48.59745016479492,4.100257566690445,505.0674337681383,619.8
1229,324.85,175718,142,-358.87761895999995,868,175587,0.001,-48.36053123474121,4.11876409649849,,
1231,333.72,176782,143,-368.85470900000007,872,175688,0.001,-49.06155700683594,3.568385442097982,,
1241,342.22,177969,143,-378.13718238000007,876,177820,0.001,-48.79586141759699,4.222380755961626,,
,,180000,,,,178955,0.001,-48.70146141052246,4.0836357235908505,795.198774309177,1000.0
1261,360.88,180066,142,-398.74741323999996,880,179955,0.001,-48.75746341705322,3.5557658879756926,,
1265,369.48,181296,143,-408.24027871999994,884,180488,0.001,-48.79607642569193,3.417984475449818,,
1278,358.87,183345,143,-396.23207428,888,183227,0.001,-48.92668884277344,3.626005968570709,,
1281,331.8,184638,144,-366.2498087800001,892,183544,0.001,-48.85812783241272,3.846420966604221,,
1286,331.31,184821,143,-365.64466283,896,184676,0.001,-49.66804558890207,4.485883105368841,,
,,185000,,,,184827,0.001,-49.075689250025256,3.7967164112349687,495.42740157898515,611.1
1297,340.75,185945,143,-376.19286261,900,185827,0.001,-49.108936447143556,3.8452014899253846,,
1303,340.92,187028,143,-376.2520054899999,904,186882,0.001,-49.1955623626709,3.9988913933436074,,
1304,332.06,187224,143,-366.8035849599999,908,187105,0.001,-49.40233263762101,4.615560882834978,,
1305,303.54,187400,143,-336.13396984999997,912,187263,0.001,-49.55780232747396,3.244764518737793,,
1306,303.27,187574,143,-335.77589810000006,916,187443,0.001,-49.26613426208496,3.802155756524631,,
1307,275.03,187775,143,-304.89539626000004,920,187632,0.001,-50.0368766784668,4.795882298396184,,
1308,265.78,187991,143,-294.53161679000004,924,187847,0.001,-49.21992926164107,4.26239689456092,,
,,190000,,,,188946,0.001,-49.18348735809326,4.446589840173721,497.7877197098918,611.1
1320,285.56,190040,143,-315.96091449000005,928,,,,,,
1330,275.88,191137,143,-305.16992037,932,191020,0.001,-49.46431600952148,4.5458784968853,,
1332,277.22,192339,144,-306.53547083,936,191245,0.001,-49.59231420663687,4.264482457682772,,
1347,287.06,194442,144,-316.69159745,940,194329,0.001,-50.12748477935791,5.0094881536960605,,
1348,286.75,194536,144,-316.256205,944,194406,0.001,-50.44230270385742,5.207244125279513,,
,,195000,,,,194481,0.001,-50.09359761288292,5.898527457163884,573.8145996529493,707.3
1360,274.66,195496,143,-303.20176103,948,195359,0.001,-49.40157985687256,5.310038506984711,,
1365,263.99,196541,143,-291.53332192,952,196430,0.001,-50.69188959503174,7.26005417060852,,
1377,282.95,199568,144,-312.02345483999994,956,198474,0.001,-51.04959426116943,9.545871104001998,,
1381,273.27,199720,144,-301.3767265,960,199594,0.001,-52.33665578505572,9.872713377981475,,
,,200000,,,,199664,0.001,-51.72213805349249,11.32637379671398,479.0254976024386,622.8
1394,281.45,201786,144,-309.93232059999997,964,200692,0.001,-51.48223277500698,11.553917561258588,,
1400,271.6,202878,144,-299.79435670999993,968,201784,0.001,-52.2438725062779,10.39908704051265,,
1405,263.1,203092,144,-290.56474419999995,972,202961,0.001,-52.526214599609375,16.49782145023346,,
1411,262.13,204182,144,-289.72636521,976,204055,0.001,-53.19699936676025,16.700907228946686,,
1411,242.28,204294,144,-267.96665719,980,204159,0.001,-53.694618225097656,19.742613220214842,,
,,205000,,,,204200,0.001,-53.345167795817055,17.472968531817926,344.8368839910836,582.9
1428,260.46,207342,145,-288.11499053,984,206248,0.001,-54.094217414855954,22.171692271709443,,
