time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
592,996.57,4858,574153,622.44943182,118,0.001,,,-70.49737438964844,573105,0.5997514585107565
,,,575000,,,0.001,941.5598755002022,1000.0,-70.44639497375488,574105,0.6120413492619992
596,996.57,4895,578153,628.76741808,118,0.001,,,-70.50252349853515,577105,0.47416702133417127
,,,580000,,,0.001,937.3390753448009,1000.0,-70.54508055114746,579105,0.5798317109718919
600,996.57,4935,582153,628.8002293799999,117,0.001,,,-70.46366835021972,581105,0.6558247708603739
,,,585000,,,0.001,855.3738788127899,1000.0,-70.48112026977539,584105,0.4540094780698419
604,996.57,4974,586153,625.9208052099999,117,0.001,,,-70.36025642395019,585105,0.6127779223769904
,,,590000,,,0.001,940.8408059358596,1000.0,-70.25562733459472,589105,0.6031505145430565
608,996.57,5012,590153,625.87408863,117,,,,,,
612,996.57,5038,594153,625.6918503,117,0.001,,,-70.28145135498048,593105,0.7254533307403326
,,,595000,,,0.001,836.665098452568,1000.0,-70.16452899541238,594630,0.5920828945296152
616,991.82,5071,597678,620.47393137,117,0.001,,,-70.15029678344726,596630,0.6959816080257296
,,,600000,,,0.001,873.0252499878407,1000.0,-69.999297164917,599630,0.5821163123175502
620,991.82,5108,601678,620.05995078,117,0.001,,,-69.87744183349609,600630,0.69143922419101
,,,605000,,,0.001,858.0672908961773,1000.0,-69.8649034729004,604630,0.5607669130414724
624,991.82,5146,605678,619.8404812800001,117,,,,,,
628,989.68,5170,609464,618.68407852,117,0.001,,,-69.82722013051273,608416,0.587495884121071
,,,610000,,,0.001,926.9815195679664,1000.0,-69.95898889160156,609416,0.7210656854733825
632,979.9,5202,612486,614.19009292,117,0.001,,,-69.92747904968262,611438,0.6792867222949862
,,,615000,,,0.001,923.887790942192,1000.0,-69.92050120544434,614438,0.7163293041661382
636,979.9,5234,616486,619.61120916,117,0.001,,,-69.96355476379395,615438,0.6128235771209002
,,,620000,,,0.001,915.3123262822628,1000.0,-69.96690885925292,619438,0.7010680570751429
640,979.9,5269,620486,619.1265685000001,117,,,,,,
644,981.21,5292,624486,618.76475766,117,0.001,,,-69.87092398071289,623438,0.6384336056485772
,,,625000,,,0.001,902.6025753200054,1000.0,-69.74733692932129,624438,0.5628413514271379
648,981.21,5328,628486,618.3502699000001,117,0.001,,,-69.68686984252929,627438,0.5631591186225414
,,,630000,,,0.001,886.2907024979592,1000.0,-69.62082968139649,629438,0.6068745178952814
652,981.21,5363,632486,620.05942409,117,0.001,,,-69.7270269317627,631438,0.4924634363055229
,,,635000,,,0.001,871.2614013612271,1000.0,-69.86415692138672,634438,0.5535574657842517
656,981.21,5397,636486,623.75784057,117,0.001,,,-69.690385055542,635438,0.5015657835155726
,,,640000,,,0.001,870.6656684577465,1000.0,-69.72500637817383,639438,0.5184924407079816
660,981.21,5433,640486,623.20276726,117,,,,,,
664,981.21,5456,644486,622.72516877,118,0.001,,,-69.75058264160157,643438,0.6114858235940337
,,,645000,,,0.001,888.6017918825149,1000.0,-69.79242033386231,644438,0.6161431951969862
668,972.31,5486,647596,615.7725477199999,118,0.001,,,-69.92823292125355,646548,0.6260124090720307
,,,650000,,,0.001,878.1283937156201,1000.0,-69.81056359863281,649548,0.5879130616933107
672,972.31,5520,651596,615.0841662099999,118,0.001,,,-69.82406896972657,650548,0.5593637665361166
