train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,,,,,0.49023020109534265,449965,450000,-48.79362339782715,,1000.0,912.1661663204432
0.001,468,990.11,629.4776337700001,3333,0.5493459049165249,450965,451965,-48.849429344177246,135,,
0.001,,,,,0.5445802363455295,454965,455000,-49.16599620819092,,1000.0,874.9828241750598
,472,1000.0,671.17840144,3363,,,455965,,135,,
0.001,476,1000.0,728.8358188299999,3384,0.4816587416380644,458965,459965,-50.06021891784668,135,,
0.001,,,,,0.45335335756838324,459965,460000,-50.32361875915527,,1000.0,855.0359538726509
0.001,480,1000.0,734.71390868,3414,0.4527694581151009,462965,463965,-50.80822389984131,135,,
0.001,,,,,0.4378385852277279,464965,465000,-51.35234238433838,,1000.0,908.6410346210002
0.001,484,1000.0,748.0756011400001,3442,0.46205939272046087,466965,467965,-52.03132057952881,135,,
0.001,,,,,0.4491588798612356,469965,470000,-52.48271516418457,,1000.0,939.1745000749827
0.001,488,1000.0,758.00922989,3472,0.4431232150197029,470965,471965,-52.63644778442383,135,,
0.001,,,,,0.42162388895452024,474965,475000,-53.02299277496338,,1000.0,792.3112448334693
,492,1000.0,785.16476121,3502,,,475965,,135,,
0.001,496,1000.0,804.9491352999999,3524,0.369648042306304,478965,479965,-53.6348882522583,136,,
0.001,,,,,0.39769133166968823,479965,480000,-53.73506545257568,,1000.0,855.0677922591567
0.001,500,1000.0,810.9846984800002,3555,0.44103653809428217,482965,483965,-54.031299133300784,136,,
0.001,,,,,0.5297753210365772,484965,485000,-54.14556768035889,,1000.0,908.5115645006299
0.001,504,1000.0,827.8064301500001,3586,0.5085812629759312,486965,487965,-54.264496879577635,136,,
0.001,,,,,0.44974023604393004,489965,490000,-54.527728546142576,,1000.0,721.8263909969479
0.001,508,1000.0,831.85244162,3617,0.42297533820569516,490965,491965,-54.74840294647217,135,,
0.001,,,,,0.4191886630356312,494965,495000,-55.32056102752686,,1000.0,842.2715171307325
,512,1000.0,837.5834343999999,3648,,,495965,,135,,
0.001,516,1000.0,846.62087883,3670,0.380396413192153,498965,499965,-56.057087158203124,136,,
0.001,,,,,0.3936602756977081,499965,500000,-56.20226626586914,,1000.0,811.2511776257306
0.001,520,1000.0,851.3948959100001,3700,0.400194521099329,502965,503965,-56.42882959747315,136,,
0.001,,,,,0.37217073975503445,504965,505000,-56.551088638305664,,1000.0,768.8516817633063
0.001,524,1000.0,857.9255155699998,3731,0.41618877203762533,506965,507965,-56.92096736907959,136,,
0.001,,,,,0.3718676774799824,509965,510000,-56.78265459442139,,1000.0,830.6301861014217
0.001,528,1000.0,864.3873495199998,3761,0.3759428027421236,510965,511965,-56.67092092132568,136,,
0.001,,,,,0.43126054015755655,514965,515000,-56.43110256958008,,1000.0,889.3067519219592
,532,1000.0,865.1163546099998,3793,,,515965,,136,,
0.001,536,1000.0,869.33179863,3815,0.3829342774152756,518965,519965,-56.24833701324463,136,,
0.001,,,,,0.39524193955957887,519965,520000,-56.171740409851076,,1000.0,744.8621727764606
0.001,540,1000.0,861.0466492800001,3846,0.43966747978329657,522965,523965,-55.82137026977539,136,,
0.001,,,,,0.5819762808084488,524965,525000,-55.25873068237305,,1000.0,818.2206650964915
0.001,544,1000.0,860.9577221600001,3875,0.6594515209794044,526965,527965,-54.46940187072754,136,,
0.001,,,,,0.6255814501345157,529965,530000,-53.17933700561523,,1000.0,908.4848165690898
0.001,548,1000.0,865.5082505400001,3906,0.5790849968791008,530965,531965,-53.07352991485596,136,,
0.001,,,,,0.535009649604559,534965,535000,-52.66269290161133,,1000.0,823.4624864898622
,552,1000.0,859.4272297699999,3935,,,535965,,136,,
0.001,556,1000.0,856.8342466299999,3956,0.6764653466641903,538965,539965,-52.0946192855835,136,,
0.001,,,,,0.7252415686845779,539965,540000,-51.90185556793213,,1000.0,914.172739540413
0.001,560,1000.0,855.6488929600001,3986,0.6321448910236359,542965,543965,-51.806689247131345,136,,
0.001,,,,,0.6331165796816349,544965,545000,-51.63287098693848,,1000.0,933.5553687746869
0.001,564,1000.0,857.49974778,4016,0.648547272771597,546965,547965,-51.40328569030762,136,,
0.001,,,,,0.725699924170971,549965,550000,-50.98192637634277,,1000.0,851.451371632563
0.001,568,1000.0,858.2555573100002,4046,0.7098308763802051,550965,551965,-50.832021446228026,136,,
0.001,,,,,0.5260091358721256,554965,555000,-50.963308395385745,,1000.0,805.8466354116797
,572,1000.0,853.78452337,4077,,,555965,,136,,
