time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
80,9054,1036,31.11,288.75340510999996,112,-94.77678093543419,0.001,22.470412749510544,8929,,
81,9173,1040,31.38,291.27386225000004,113,-94.30975060713918,0.001,23.103372011429226,9051,,
82,9292,1044,31.55,292.88702116,113,-95.91136659894671,0.001,25.23746109008789,9162,,
83,9460,1048,32.16,298.60288328999997,113,-94.86237386067708,0.001,24.464878145853678,9281,,
84,9603,1052,32.62,302.9190594,113,-99.2716303507487,0.001,25.63798882884364,9465,,
86,9828,1056,33.79,313.8758349,113,-97.73565831677666,0.001,25.85320048496641,9639,,
88,9977,1060,34.36,319.20775332,112,-98.3069920539856,0.001,26.77041189598315,9837,,
,10000,,,,,-100.81144922429866,0.001,27.329930083696233,9880,38.7,359.8667664527893
90,10162,1064,35.0,325.19344147000004,112,-101.14891549815302,0.001,32.83444595336914,10029,,
91,10284,1068,34.97,324.90637692999996,112,-103.88635921478271,0.001,27.991253793239594,10155,,
92,10400,1072,35.04,325.57675996,111,-100.57248922494742,0.001,28.716116795173058,10280,,
94,10580,1076,35.71,331.85843816,111,-100.16595400296725,0.001,30.563535011731663,10440,,
95,10734,1080,36.26,336.98801209000004,111,-101.105524930087,0.001,33.048430529507726,10606,,
96,10843,1084,35.97,334.26404967,112,-105.4675539456881,0.001,36.24271631240845,10720,,
,11000,,,,,-106.38867519212806,0.001,31.76743098364936,10880,37.8,351.441477394104
98,11029,1088,36.72,341.27497942,112,,,,,,
99,11195,1092,36.7,341.06987770000006,112,-107.08091575221012,0.001,29.932881330188952,11055,,
100,11363,1096,36.91,343.0261145899999,112,-105.6564229329427,0.001,36.074777364730835,11194,,
102,11522,1100,37.36,347.23254948,112,-107.04862848917644,0.001,41.26001024246216,11386,,
103,11633,1104,37.4,347.61053606,112,-104.7415771484375,0.001,39.069660363373934,11505,,
104,11763,1108,37.16,345.37974821999995,112,-105.69184561336742,0.001,30.99129160712747,11634,,
105,11942,1112,37.41,347.73353482999994,112,-109.52063242594402,0.001,40.48801028728485,11805,,
,12000,,,,,-109.57417805989583,0.001,36.45514208475749,11875,41.3,384.0940915107727
106,12075,1116,37.05,344.35937469000004,112,-109.56694889068604,0.001,35.09367681318714,11940,,
