time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
580000,,-75.97991702270508,,0.13325084648281335,,,0.001,,579648,964.9546514987945,1000.0
581648,125,-76.02649548339843,4649,0.12524852913431822,1000.0,596,0.001,923.8178695199999,580648,,
585000,,-76.0398003692627,,0.13339975126460193,,,0.001,,584648,974.625408399105,1000.0
585648,125,,4682,,1000.0,600,,923.8893526300001,,,
589648,125,-76.08820991516113,4705,0.14476154596917332,1000.0,604,0.001,924.02457939,588648,,
590000,,-76.14290260314941,,0.12146693165041507,,,0.001,,589648,978.4845616102218,1000.0
593648,125,-76.10326402282715,4737,0.12736579292826355,1000.0,608,0.001,924.37848048,592648,,
595000,,-76.11076387023925,,0.11684214782528579,,,0.001,,594648,974.0469010233879,1000.0
597648,125,-76.14101200866699,4771,0.10048388197645546,1000.0,612,0.001,924.5700816800002,596648,,
600000,,-76.16326602172852,,0.15195367094315587,,,0.001,,599648,944.7350809574127,1000.0
601648,125,-76.21391888427735,4804,0.12041030457057059,1000.0,616,0.001,924.1963227100001,600648,,
605000,,-76.13075955200195,,0.10380702433921397,,,0.001,,604648,970.6088136434555,1000.0
605648,125,,4838,,1000.0,620,,923.88277951,,,
609648,125,-76.17514157104492,4861,0.10175417998433113,1000.0,624,0.001,923.9091218699999,608648,,
610000,,-76.17650570678711,,0.11094400727748871,,,0.001,,609648,976.0696404576302,1000.0
613648,125,-76.17273405456542,4893,0.12327497153542936,1000.0,628,0.001,924.1070840499998,612648,,
615000,,-76.14978674316406,,0.11130742575228214,,,0.001,,614648,977.0328719079495,1000.0
617648,125,-76.11743359375,4925,0.10617486931197345,1000.0,632,0.001,924.54182923,616648,,
620000,,-76.1575182647705,,0.10602204029075801,,,0.001,,619648,974.4513992190361,1000.0
621648,125,-76.10399870300293,4960,0.10895380148477853,1000.0,636,0.001,924.42094665,620648,,
625000,,-76.08861560058594,,0.11167509205266833,,,0.001,,624648,983.1354057192802,1000.0
625648,125,,4993,,1000.0,640,,924.4437296999998,,,
629648,125,-76.01502159118652,5016,0.11783264978602528,1000.0,644,0.001,924.2854075500001,628648,,
630000,,-75.97217106628418,,0.11318787643127143,,,0.001,,629648,964.6078521192073,1000.0
633648,125,-75.96698249816895,5049,0.11508600687235594,1000.0,648,0.001,924.6244085800001,632648,,
635000,,-75.9548108215332,,0.12255734922923148,,,0.001,,634648,979.261991494894,1000.0
637648,125,-75.9700334777832,5084,0.12214609182812274,1000.0,652,0.001,924.7315341300002,636648,,
640000,,-75.99892800903321,,0.12240647713840008,,,0.001,,639648,978.3355688214302,1000.0
641648,125,-75.9878323059082,5117,0.14593687007762493,1000.0,656,0.001,925.0862606800001,640648,,
645000,,-76.05278216552735,,0.1483763303551823,,,0.001,,644648,969.967332470417,1000.0
645648,125,,5149,,1000.0,660,,925.063117,,,
649648,125,-76.03599839782714,5173,0.10663368710689247,1000.0,664,0.001,924.95023085,648648,,
