time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
757500,,,,,,0.9731565769761801,3690,0.0003,-0.008328795319539496,0.15419921875,24.771985648572446,464.4,0.37624892592430115,1536.6653681755065,-1.3021166872233152,0.01509062,0.2,5.71340274810791
757760,5659,370,535.79,1936.9215890399998,133,,,,,,,,,,,,,
759808,5663,371,541.34,1954.27113801,134,0.4074626564979553,3700,0.0003,-0.006430808403820265,0.16513671875,417.5874075680971,,0.37686651945114136,,-1.3084762182086707,0.01286127,0.2,854.0750122070312
760000,,,,,,0.8339828550815582,3710,0.0003,-0.007929647140554153,0.11171875,333.6674227207899,614.3,0.37591075897216797,2074.6592352181674,-1.3071085173636674,0.011255558,0.2,784.7621459960938
761856,5677,372,546.83,1974.41198635,134,,,,,,,,,,,,,
762500,,,,,,0.9918158138170838,3720,0.0003,-0.010717765317531302,0.210986328125,11.538307127356529,702.5,0.3768649995326996,2405.3735146820545,-1.308122806996107,0.023741059,0.2,7.2020368576049805
763904,5692,373,552.17,1992.25495279,134,,,,,,,,,,,,,
765000,,,,,,0.4566008448600769,3730,0.0003,-0.010055294938501902,0.165283203125,600.4949012100697,617.9,0.37771934270858765,2099.842583453655,-1.3140407983213662,0.011082412,0.2,357.14239501953125
765952,5705,374,557.51,2009.77444548,134,,,,,,,,,,,,,
767500,,,,,,0.9562770165503025,3740,0.0003,-0.012309318131883629,0.202490234375,19.790857899188996,966.75,0.3790286183357239,3428.0580048292877,-1.3241850227117538,0.019837357,0.2,10.4491605758667
768000,5725,375,552.26,1988.7544783399999,134,,,,,,,,,,,,,
770000,,,,,,0.9421013072133064,3750,0.0003,-0.0059711389883887024,0.158544921875,235.2223511457443,942.1,0.38158369064331055,3393.7307904720305,-1.3389927700161934,0.016640354,0.2,260.4281005859375
770048,5744,376,551.38,1984.8240621399998,134,,,,,,,,,,,,,
